stations_id,stationsname,bundesland,mess_datum,mess_datum_beginn,mess_datum_ende,bedeckungsgrad,lufttemperatur,lufttemperatur_max,lufttemperatur_min,windstaerke,sonnenscheindauer,windspitze,lufttemperatur_absmax,lufttemperatur_absmin,niederschlagshoehe,niederschlagshoehe_max,schneehoehe_neu,schneehoehe,sturm_6bft,sturm_8bft,gewitter,glatteis,graupel,hagel,nebel,tau,stationshoehe,geobreite,geolaenge
164,Angermuende,Brandenburg,1909-01-15,NA,NA,4.91,7.32,12.4,3.1,1.59,NA,NA,31.5,-22.3,516.8,28.4,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1910-01-15,NA,NA,4.92,8.6,13.76,4.68,1.7,NA,NA,32,-7.9,578.8,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1911-01-15,NA,NA,4.63,9.04,13.84,4.71,1.86,NA,NA,34.8,-10.1,362.9,24.7,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1912-01-15,NA,NA,5.03,7.46,12.08,3.42,1.9,NA,NA,30.8,-30.1,532.2,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1913-01-15,NA,NA,4.65,8.57,13.47,4.14,2.13,NA,NA,29.9,-13.7,469,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1914-01-15,NA,NA,4.84,8.75,13.4,4.68,1.94,NA,NA,32.4,-14.3,551.5,43.1,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1915-01-15,NA,NA,5.03,7.49,12.09,3.23,1.8,NA,NA,33.9,-24.6,521.8,26.3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1916-01-15,NA,NA,5.21,8.42,12.72,4.49,1.95,NA,NA,28.3,-7.8,571.3,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1917-01-15,NA,NA,4.76,7.38,11.98,2.79,1.98,NA,NA,34.5,-26.3,497.6,32.7,NA,887,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1918-01-15,NA,NA,4.99,8.48,13.04,4.2,1.86,NA,NA,30.7,-13.7,596,27.4,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1919-01-15,NA,NA,5.25,7.12,11.5,2.83,1.71,NA,NA,32.8,-25.7,515.8,26.1,NA,553,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1920-01-15,NA,NA,4.83,8.38,13.03,4.17,1.78,NA,NA,30.6,-13.1,596.6,72.1,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1921-01-15,NA,NA,4.36,8.82,14.09,3.9,1.94,NA,NA,35.2,-16.8,496.1,21.7,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1922-01-15,NA,NA,5.33,6.91,11.5,2.69,1.8,NA,NA,35,-18.2,620.4,82.2,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
164,Angermuende,Brandenburg,1923-01-15,NA,NA,5.17,7.48,12.19,3.24,1.87,NA,NA,33.7,-19.3,516.1,44,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,54,53.0316,13.9908
